PATTERN: 0xff00
PING 172.217.31.206 (172.217.31.206) 56(84) bytes of data.
64 bytes from 172.217.31.206: icmp_seq=173 ttl=128 time=71.2 ms
64 bytes from 172.217.31.206: icmp_seq=174 ttl=128 time=67.4 ms
64 bytes from 172.217.31.206: icmp_seq=175 ttl=128 time=71.2 ms
64 bytes from 172.217.31.206: icmp_seq=176 ttl=128 time=71.2 ms
64 bytes from 172.217.31.206: icmp_seq=177 ttl=128 time=70.7 ms
64 bytes from 172.217.31.206: icmp_seq=178 ttl=128 time=76.9 ms
64 bytes from 172.217.31.206: icmp_seq=179 ttl=128 time=76.2 ms
64 bytes from 172.217.31.206: icmp_seq=180 ttl=128 time=69.6 ms
64 bytes from 172.217.31.206: icmp_seq=181 ttl=128 time=69.6 ms
64 bytes from 172.217.31.206: icmp_seq=182 ttl=128 time=69.5 ms
64 bytes from 172.217.31.206: icmp_seq=183 ttl=128 time=86.3 ms
64 bytes from 172.217.31.206: icmp_seq=184 ttl=128 time=67.4 ms
64 bytes from 172.217.31.206: icmp_seq=185 ttl=128 time=68.3 ms
64 bytes from 172.217.31.206: icmp_seq=186 ttl=128 time=68.2 ms
64 bytes from 172.217.31.206: icmp_seq=187 ttl=128 time=78.3 ms
64 bytes from 172.217.31.206: icmp_seq=188 ttl=128 time=69.0 ms
64 bytes from 172.217.31.206: icmp_seq=189 ttl=128 time=68.1 ms
64 bytes from 172.217.31.206: icmp_seq=190 ttl=128 time=71.4 ms
64 bytes from 172.217.31.206: icmp_seq=192 ttl=128 time=80.2 ms
64 bytes from 172.217.31.206: icmp_seq=193 ttl=128 time=69.0 ms
64 bytes from 172.217.31.206: icmp_seq=194 ttl=128 time=70.5 ms
64 bytes from 172.217.31.206: icmp_seq=195 ttl=128 time=67.6 ms
64 bytes from 172.217.31.206: icmp_seq=196 ttl=128 time=71.3 ms
64 bytes from 172.217.31.206: icmp_seq=197 ttl=128 time=71.8 ms
64 bytes from 172.217.31.206: icmp_seq=198 ttl=128 time=69.5 ms
64 bytes from 172.217.31.206: icmp_seq=199 ttl=128 time=67.8 ms
64 bytes from 172.217.31.206: icmp_seq=200 ttl=128 time=67.1 ms
64 bytes from 172.217.31.206: icmp_seq=201 ttl=128 time=68.4 ms
64 bytes from 172.217.31.206: icmp_seq=202 ttl=128 time=67.6 ms
64 bytes from 172.217.31.206: icmp_seq=203 ttl=128 time=72.0 ms
64 bytes from 172.217.31.206: icmp_seq=204 ttl=128 time=69.9 ms
64 bytes from 172.217.31.206: icmp_seq=205 ttl=128 time=69.4 ms
64 bytes from 172.217.31.206: icmp_seq=206 ttl=128 time=69.2 ms
64 bytes from 172.217.31.206: icmp_seq=207 ttl=128 time=68.7 ms
64 bytes from 172.217.31.206: icmp_seq=208 ttl=128 time=76.3 ms
64 bytes from 172.217.31.206: icmp_seq=209 ttl=128 time=69.9 ms
64 bytes from 172.217.31.206: icmp_seq=210 ttl=128 time=84.1 ms
64 bytes from 172.217.31.206: icmp_seq=211 ttl=128 time=68.1 ms
64 bytes from 172.217.31.206: icmp_seq=212 ttl=128 time=67.5 ms
64 bytes from 172.217.31.206: icmp_seq=213 ttl=128 time=73.3 ms
64 bytes from 172.217.31.206: icmp_seq=214 ttl=128 time=70.8 ms
64 bytes from 172.217.31.206: icmp_seq=215 ttl=128 time=68.5 ms
64 bytes from 172.217.31.206: icmp_seq=216 ttl=128 time=68.5 ms
64 bytes from 172.217.31.206: icmp_seq=217 ttl=128 time=68.1 ms
64 bytes from 172.217.31.206: icmp_seq=218 ttl=128 time=68.2 ms
64 bytes from 172.217.31.206: icmp_seq=220 ttl=128 time=71.8 ms
64 bytes from 172.217.31.206: icmp_seq=221 ttl=128 time=69.5 ms
64 bytes from 172.217.31.206: icmp_seq=222 ttl=128 time=70.3 ms
64 bytes from 172.217.31.206: icmp_seq=223 ttl=128 time=70.9 ms
64 bytes from 172.217.31.206: icmp_seq=225 ttl=128 time=67.5 ms
64 bytes from 172.217.31.206: icmp_seq=226 ttl=128 time=68.8 ms
64 bytes from 172.217.31.206: icmp_seq=227 ttl=128 time=69.7 ms
64 bytes from 172.217.31.206: icmp_seq=228 ttl=128 time=74.0 ms
64 bytes from 172.217.31.206: icmp_seq=229 ttl=128 time=72.7 ms
64 bytes from 172.217.31.206: icmp_seq=230 ttl=128 time=76.2 ms
64 bytes from 172.217.31.206: icmp_seq=231 ttl=128 time=76.0 ms
64 bytes from 172.217.31.206: icmp_seq=232 ttl=128 time=67.0 ms
64 bytes from 172.217.31.206: icmp_seq=233 ttl=128 time=74.1 ms
64 bytes from 172.217.31.206: icmp_seq=234 ttl=128 time=68.8 ms
64 bytes from 172.217.31.206: icmp_seq=236 ttl=128 time=74.7 ms
64 bytes from 172.217.31.206: icmp_seq=237 ttl=128 time=70.0 ms
64 bytes from 172.217.31.206: icmp_seq=238 ttl=128 time=67.5 ms
64 bytes from 172.217.31.206: icmp_seq=239 ttl=128 time=75.7 ms
64 bytes from 172.217.31.206: icmp_seq=240 ttl=128 time=70.9 ms
64 bytes from 172.217.31.206: icmp_seq=241 ttl=128 time=70.7 ms
64 bytes from 172.217.31.206: icmp_seq=242 ttl=128 time=70.0 ms
64 bytes from 172.217.31.206: icmp_seq=243 ttl=128 time=73.3 ms
64 bytes from 172.217.31.206: icmp_seq=244 ttl=128 time=68.0 ms
64 bytes from 172.217.31.206: icmp_seq=245 ttl=128 time=71.0 ms
64 bytes from 172.217.31.206: icmp_seq=246 ttl=128 time=67.8 ms
64 bytes from 172.217.31.206: icmp_seq=247 ttl=128 time=67.4 ms
64 bytes from 172.217.31.206: icmp_seq=248 ttl=128 time=67.5 ms
64 bytes from 172.217.31.206: icmp_seq=249 ttl=128 time=70.7 ms
64 bytes from 172.217.31.206: icmp_seq=251 ttl=128 time=70.3 ms
64 bytes from 172.217.31.206: icmp_seq=252 ttl=128 time=72.0 ms
64 bytes from 172.217.31.206: icmp_seq=253 ttl=128 time=71.5 ms
64 bytes from 172.217.31.206: icmp_seq=254 ttl=128 time=68.3 ms
64 bytes from 172.217.31.206: icmp_seq=255 ttl=128 time=80.3 ms
64 bytes from 172.217.31.206: icmp_seq=256 ttl=128 time=94.2 ms
64 bytes from 172.217.31.206: icmp_seq=257 ttl=128 time=74.3 ms
64 bytes from 172.217.31.206: icmp_seq=258 ttl=128 time=76.2 ms
64 bytes from 172.217.31.206: icmp_seq=259 ttl=128 time=68.5 ms
64 bytes from 172.217.31.206: icmp_seq=260 ttl=128 time=69.2 ms
64 bytes from 172.217.31.206: icmp_seq=262 ttl=128 time=73.1 ms
64 bytes from 172.217.31.206: icmp_seq=263 ttl=128 time=84.2 ms
64 bytes from 172.217.31.206: icmp_seq=264 ttl=128 time=69.3 ms
64 bytes from 172.217.31.206: icmp_seq=265 ttl=128 time=68.0 ms
64 bytes from 172.217.31.206: icmp_seq=266 ttl=128 time=171 ms
64 bytes from 172.217.31.206: icmp_seq=268 ttl=128 time=624 ms
64 bytes from 172.217.31.206: icmp_seq=270 ttl=128 time=802 ms
64 bytes from 172.217.31.206: icmp_seq=271 ttl=128 time=808 ms
64 bytes from 172.217.31.206: icmp_seq=272 ttl=128 time=820 ms
64 bytes from 172.217.31.206: icmp_seq=274 ttl=128 time=327 ms
64 bytes from 172.217.31.206: icmp_seq=275 ttl=128 time=644 ms
64 bytes from 172.217.31.206: icmp_seq=276 ttl=128 time=165 ms
64 bytes from 172.217.31.206: icmp_seq=278 ttl=128 time=820 ms
64 bytes from 172.217.31.206: icmp_seq=279 ttl=128 time=611 ms
64 bytes from 172.217.31.206: icmp_seq=280 ttl=128 time=308 ms
64 bytes from 172.217.31.206: icmp_seq=281 ttl=128 time=136 ms
64 bytes from 172.217.31.206: icmp_seq=282 ttl=128 time=89.2 ms
64 bytes from 172.217.31.206: icmp_seq=283 ttl=128 time=593 ms
64 bytes from 172.217.31.206: icmp_seq=284 ttl=128 time=79.9 ms
64 bytes from 172.217.31.206: icmp_seq=285 ttl=128 time=90.6 ms
64 bytes from 172.217.31.206: icmp_seq=286 ttl=128 time=85.7 ms
64 bytes from 172.217.31.206: icmp_seq=287 ttl=128 time=73.0 ms
64 bytes from 172.217.31.206: icmp_seq=288 ttl=128 time=88.7 ms
64 bytes from 172.217.31.206: icmp_seq=289 ttl=128 time=98.4 ms
64 bytes from 172.217.31.206: icmp_seq=290 ttl=128 time=234 ms
64 bytes from 172.217.31.206: icmp_seq=291 ttl=128 time=90.5 ms
64 bytes from 172.217.31.206: icmp_seq=292 ttl=128 time=132 ms
64 bytes from 172.217.31.206: icmp_seq=293 ttl=128 time=81.2 ms
64 bytes from 172.217.31.206: icmp_seq=294 ttl=128 time=109 ms
64 bytes from 172.217.31.206: icmp_seq=295 ttl=128 time=87.1 ms
64 bytes from 172.217.31.206: icmp_seq=296 ttl=128 time=109 ms
64 bytes from 172.217.31.206: icmp_seq=297 ttl=128 time=114 ms
64 bytes from 172.217.31.206: icmp_seq=298 ttl=128 time=93.6 ms
64 bytes from 172.217.31.206: icmp_seq=299 ttl=128 time=95.0 ms
64 bytes from 172.217.31.206: icmp_seq=300 ttl=128 time=120 ms
64 bytes from 172.217.31.206: icmp_seq=301 ttl=128 time=147 ms
64 bytes from 172.217.31.206: icmp_seq=302 ttl=128 time=99.5 ms
64 bytes from 172.217.31.206: icmp_seq=303 ttl=128 time=71.4 ms
64 bytes from 172.217.31.206: icmp_seq=304 ttl=128 time=96.8 ms
64 bytes from 172.217.31.206: icmp_seq=305 ttl=128 time=86.6 ms
64 bytes from 172.217.31.206: icmp_seq=306 ttl=128 time=219 ms
64 bytes from 172.217.31.206: icmp_seq=307 ttl=128 time=75.7 ms
64 bytes from 172.217.31.206: icmp_seq=308 ttl=128 time=240 ms
64 bytes from 172.217.31.206: icmp_seq=309 ttl=128 time=82.0 ms
64 bytes from 172.217.31.206: icmp_seq=310 ttl=128 time=91.2 ms
64 bytes from 172.217.31.206: icmp_seq=311 ttl=128 time=154 ms
64 bytes from 172.217.31.206: icmp_seq=312 ttl=128 time=93.1 ms
64 bytes from 172.217.31.206: icmp_seq=313 ttl=128 time=85.5 ms
64 bytes from 172.217.31.206: icmp_seq=314 ttl=128 time=97.9 ms
64 bytes from 172.217.31.206: icmp_seq=315 ttl=128 time=93.5 ms
64 bytes from 172.217.31.206: icmp_seq=316 ttl=128 time=81.0 ms
64 bytes from 172.217.31.206: icmp_seq=317 ttl=128 time=75.9 ms
64 bytes from 172.217.31.206: icmp_seq=318 ttl=128 time=67.3 ms
64 bytes from 172.217.31.206: icmp_seq=319 ttl=128 time=73.1 ms
64 bytes from 172.217.31.206: icmp_seq=320 ttl=128 time=69.3 ms
64 bytes from 172.217.31.206: icmp_seq=321 ttl=128 time=70.4 ms
64 bytes from 172.217.31.206: icmp_seq=322 ttl=128 time=68.7 ms
64 bytes from 172.217.31.206: icmp_seq=323 ttl=128 time=70.2 ms
64 bytes from 172.217.31.206: icmp_seq=324 ttl=128 time=72.7 ms
64 bytes from 172.217.31.206: icmp_seq=325 ttl=128 time=75.3 ms
64 bytes from 172.217.31.206: icmp_seq=326 ttl=128 time=70.6 ms
64 bytes from 172.217.31.206: icmp_seq=327 ttl=128 time=73.0 ms
64 bytes from 172.217.31.206: icmp_seq=329 ttl=128 time=72.9 ms
64 bytes from 172.217.31.206: icmp_seq=330 ttl=128 time=68.4 ms
64 bytes from 172.217.31.206: icmp_seq=331 ttl=128 time=69.4 ms
64 bytes from 172.217.31.206: icmp_seq=332 ttl=128 time=74.7 ms
64 bytes from 172.217.31.206: icmp_seq=333 ttl=128 time=69.3 ms
64 bytes from 172.217.31.206: icmp_seq=334 ttl=128 time=74.6 ms
64 bytes from 172.217.31.206: icmp_seq=336 ttl=128 time=94.9 ms
64 bytes from 172.217.31.206: icmp_seq=337 ttl=128 time=286 ms
64 bytes from 172.217.31.206: icmp_seq=338 ttl=128 time=1325 ms
64 bytes from 172.217.31.206: icmp_seq=339 ttl=128 time=1077 ms
64 bytes from 172.217.31.206: icmp_seq=340 ttl=128 time=185 ms
64 bytes from 172.217.31.206: icmp_seq=341 ttl=128 time=75.0 ms
64 bytes from 172.217.31.206: icmp_seq=342 ttl=128 time=123 ms
64 bytes from 172.217.31.206: icmp_seq=343 ttl=128 time=138 ms
64 bytes from 172.217.31.206: icmp_seq=344 ttl=128 time=88.4 ms
64 bytes from 172.217.31.206: icmp_seq=345 ttl=128 time=88.6 ms
64 bytes from 172.217.31.206: icmp_seq=346 ttl=128 time=71.4 ms
64 bytes from 172.217.31.206: icmp_seq=347 ttl=128 time=103 ms
64 bytes from 172.217.31.206: icmp_seq=348 ttl=128 time=88.2 ms
64 bytes from 172.217.31.206: icmp_seq=349 ttl=128 time=170 ms
64 bytes from 172.217.31.206: icmp_seq=350 ttl=128 time=155 ms
64 bytes from 172.217.31.206: icmp_seq=351 ttl=128 time=1358 ms
64 bytes from 172.217.31.206: icmp_seq=353 ttl=128 time=514 ms
64 bytes from 172.217.31.206: icmp_seq=355 ttl=128 time=96.1 ms
64 bytes from 172.217.31.206: icmp_seq=356 ttl=128 time=91.1 ms
64 bytes from 172.217.31.206: icmp_seq=358 ttl=128 time=144 ms
64 bytes from 172.217.31.206: icmp_seq=359 ttl=128 time=124 ms
64 bytes from 172.217.31.206: icmp_seq=360 ttl=128 time=122 ms
64 bytes from 172.217.31.206: icmp_seq=361 ttl=128 time=353 ms
64 bytes from 172.217.31.206: icmp_seq=362 ttl=128 time=124 ms
64 bytes from 172.217.31.206: icmp_seq=363 ttl=128 time=68.3 ms
64 bytes from 172.217.31.206: icmp_seq=364 ttl=128 time=74.4 ms
64 bytes from 172.217.31.206: icmp_seq=365 ttl=128 time=78.5 ms
64 bytes from 172.217.31.206: icmp_seq=366 ttl=128 time=77.5 ms
64 bytes from 172.217.31.206: icmp_seq=367 ttl=128 time=87.8 ms
64 bytes from 172.217.31.206: icmp_seq=369 ttl=128 time=90.9 ms
64 bytes from 172.217.31.206: icmp_seq=370 ttl=128 time=78.2 ms
64 bytes from 172.217.31.206: icmp_seq=371 ttl=128 time=91.6 ms
64 bytes from 172.217.31.206: icmp_seq=372 ttl=128 time=78.5 ms
64 bytes from 172.217.31.206: icmp_seq=373 ttl=128 time=79.1 ms
64 bytes from 172.217.31.206: icmp_seq=375 ttl=128 time=79.2 ms
64 bytes from 172.217.31.206: icmp_seq=376 ttl=128 time=104 ms
64 bytes from 172.217.31.206: icmp_seq=377 ttl=128 time=89.9 ms
64 bytes from 172.217.31.206: icmp_seq=378 ttl=128 time=117 ms
64 bytes from 172.217.31.206: icmp_seq=379 ttl=128 time=88.2 ms
64 bytes from 172.217.31.206: icmp_seq=380 ttl=128 time=75.3 ms
64 bytes from 172.217.31.206: icmp_seq=381 ttl=128 time=81.6 ms
64 bytes from 172.217.31.206: icmp_seq=382 ttl=128 time=96.4 ms
64 bytes from 172.217.31.206: icmp_seq=383 ttl=128 time=82.3 ms
64 bytes from 172.217.31.206: icmp_seq=384 ttl=128 time=75.5 ms
64 bytes from 172.217.31.206: icmp_seq=386 ttl=128 time=93.0 ms
64 bytes from 172.217.31.206: icmp_seq=387 ttl=128 time=90.5 ms
