PING 172.217.31.206 (172.217.31.206) 56(84) bytes of data.
64 bytes from 172.217.31.206: icmp_seq=286 ttl=128 time=78.9 ms
64 bytes from 172.217.31.206: icmp_seq=287 ttl=128 time=68.8 ms
64 bytes from 172.217.31.206: icmp_seq=288 ttl=128 time=67.7 ms
64 bytes from 172.217.31.206: icmp_seq=289 ttl=128 time=73.1 ms
64 bytes from 172.217.31.206: icmp_seq=290 ttl=128 time=83.1 ms
64 bytes from 172.217.31.206: icmp_seq=291 ttl=128 time=80.4 ms
64 bytes from 172.217.31.206: icmp_seq=292 ttl=128 time=74.1 ms
64 bytes from 172.217.31.206: icmp_seq=293 ttl=128 time=73.0 ms
64 bytes from 172.217.31.206: icmp_seq=294 ttl=128 time=71.8 ms
64 bytes from 172.217.31.206: icmp_seq=296 ttl=128 time=93.0 ms
64 bytes from 172.217.31.206: icmp_seq=297 ttl=128 time=95.1 ms
64 bytes from 172.217.31.206: icmp_seq=299 ttl=128 time=109 ms
64 bytes from 172.217.31.206: icmp_seq=300 ttl=128 time=72.6 ms
64 bytes from 172.217.31.206: icmp_seq=301 ttl=128 time=81.2 ms
64 bytes from 172.217.31.206: icmp_seq=302 ttl=128 time=68.0 ms
64 bytes from 172.217.31.206: icmp_seq=303 ttl=128 time=77.3 ms
64 bytes from 172.217.31.206: icmp_seq=305 ttl=128 time=83.2 ms
64 bytes from 172.217.31.206: icmp_seq=306 ttl=128 time=75.5 ms
64 bytes from 172.217.31.206: icmp_seq=307 ttl=128 time=72.4 ms
64 bytes from 172.217.31.206: icmp_seq=308 ttl=128 time=73.7 ms
64 bytes from 172.217.31.206: icmp_seq=309 ttl=128 time=69.7 ms
64 bytes from 172.217.31.206: icmp_seq=310 ttl=128 time=72.3 ms
64 bytes from 172.217.31.206: icmp_seq=311 ttl=128 time=72.9 ms
64 bytes from 172.217.31.206: icmp_seq=312 ttl=128 time=69.5 ms
64 bytes from 172.217.31.206: icmp_seq=313 ttl=128 time=75.2 ms
64 bytes from 172.217.31.206: icmp_seq=314 ttl=128 time=89.8 ms
64 bytes from 172.217.31.206: icmp_seq=315 ttl=128 time=297 ms
64 bytes from 172.217.31.206: icmp_seq=316 ttl=128 time=72.6 ms
64 bytes from 172.217.31.206: icmp_seq=317 ttl=128 time=81.8 ms
64 bytes from 172.217.31.206: icmp_seq=318 ttl=128 time=68.3 ms
64 bytes from 172.217.31.206: icmp_seq=319 ttl=128 time=71.5 ms
64 bytes from 172.217.31.206: icmp_seq=320 ttl=128 time=69.2 ms
64 bytes from 172.217.31.206: icmp_seq=321 ttl=128 time=72.0 ms
64 bytes from 172.217.31.206: icmp_seq=322 ttl=128 time=68.0 ms
64 bytes from 172.217.31.206: icmp_seq=323 ttl=128 time=70.0 ms
64 bytes from 172.217.31.206: icmp_seq=324 ttl=128 time=79.7 ms
64 bytes from 172.217.31.206: icmp_seq=325 ttl=128 time=68.3 ms
64 bytes from 172.217.31.206: icmp_seq=326 ttl=128 time=72.6 ms
64 bytes from 172.217.31.206: icmp_seq=327 ttl=128 time=68.3 ms
64 bytes from 172.217.31.206: icmp_seq=328 ttl=128 time=77.6 ms
64 bytes from 172.217.31.206: icmp_seq=329 ttl=128 time=69.4 ms
64 bytes from 172.217.31.206: icmp_seq=330 ttl=128 time=73.5 ms
64 bytes from 172.217.31.206: icmp_seq=331 ttl=128 time=77.3 ms
64 bytes from 172.217.31.206: icmp_seq=332 ttl=128 time=126 ms
64 bytes from 172.217.31.206: icmp_seq=333 ttl=128 time=79.7 ms
64 bytes from 172.217.31.206: icmp_seq=334 ttl=128 time=69.7 ms
64 bytes from 172.217.31.206: icmp_seq=335 ttl=128 time=95.4 ms
64 bytes from 172.217.31.206: icmp_seq=336 ttl=128 time=69.0 ms
64 bytes from 172.217.31.206: icmp_seq=337 ttl=128 time=70.6 ms
64 bytes from 172.217.31.206: icmp_seq=338 ttl=128 time=85.3 ms
64 bytes from 172.217.31.206: icmp_seq=339 ttl=128 time=91.5 ms
64 bytes from 172.217.31.206: icmp_seq=340 ttl=128 time=74.1 ms
64 bytes from 172.217.31.206: icmp_seq=341 ttl=128 time=72.0 ms
64 bytes from 172.217.31.206: icmp_seq=342 ttl=128 time=74.6 ms
64 bytes from 172.217.31.206: icmp_seq=343 ttl=128 time=89.6 ms
64 bytes from 172.217.31.206: icmp_seq=344 ttl=128 time=82.5 ms
64 bytes from 172.217.31.206: icmp_seq=345 ttl=128 time=70.7 ms
64 bytes from 172.217.31.206: icmp_seq=346 ttl=128 time=67.7 ms
64 bytes from 172.217.31.206: icmp_seq=347 ttl=128 time=75.1 ms
64 bytes from 172.217.31.206: icmp_seq=348 ttl=128 time=73.4 ms
64 bytes from 172.217.31.206: icmp_seq=350 ttl=128 time=70.8 ms
64 bytes from 172.217.31.206: icmp_seq=352 ttl=128 time=71.7 ms
64 bytes from 172.217.31.206: icmp_seq=353 ttl=128 time=67.2 ms
64 bytes from 172.217.31.206: icmp_seq=354 ttl=128 time=112 ms
64 bytes from 172.217.31.206: icmp_seq=355 ttl=128 time=105 ms
64 bytes from 172.217.31.206: icmp_seq=357 ttl=128 time=69.6 ms
64 bytes from 172.217.31.206: icmp_seq=358 ttl=128 time=120 ms
64 bytes from 172.217.31.206: icmp_seq=359 ttl=128 time=74.3 ms
64 bytes from 172.217.31.206: icmp_seq=361 ttl=128 time=136 ms
64 bytes from 172.217.31.206: icmp_seq=363 ttl=128 time=80.4 ms
64 bytes from 172.217.31.206: icmp_seq=364 ttl=128 time=71.8 ms
64 bytes from 172.217.31.206: icmp_seq=365 ttl=128 time=72.1 ms
64 bytes from 172.217.31.206: icmp_seq=366 ttl=128 time=72.4 ms
64 bytes from 172.217.31.206: icmp_seq=367 ttl=128 time=98.7 ms
64 bytes from 172.217.31.206: icmp_seq=368 ttl=128 time=121 ms
64 bytes from 172.217.31.206: icmp_seq=369 ttl=128 time=324 ms
64 bytes from 172.217.31.206: icmp_seq=370 ttl=128 time=806 ms
64 bytes from 172.217.31.206: icmp_seq=372 ttl=128 time=648 ms
64 bytes from 172.217.31.206: icmp_seq=373 ttl=128 time=70.8 ms
64 bytes from 172.217.31.206: icmp_seq=374 ttl=128 time=76.2 ms
64 bytes from 172.217.31.206: icmp_seq=375 ttl=128 time=72.7 ms
64 bytes from 172.217.31.206: icmp_seq=376 ttl=128 time=67.7 ms
64 bytes from 172.217.31.206: icmp_seq=377 ttl=128 time=69.3 ms
64 bytes from 172.217.31.206: icmp_seq=378 ttl=128 time=72.4 ms
64 bytes from 172.217.31.206: icmp_seq=379 ttl=128 time=68.5 ms
64 bytes from 172.217.31.206: icmp_seq=380 ttl=128 time=67.2 ms
64 bytes from 172.217.31.206: icmp_seq=381 ttl=128 time=67.8 ms
64 bytes from 172.217.31.206: icmp_seq=382 ttl=128 time=69.4 ms
64 bytes from 172.217.31.206: icmp_seq=383 ttl=128 time=69.5 ms
64 bytes from 172.217.31.206: icmp_seq=384 ttl=128 time=72.1 ms
64 bytes from 172.217.31.206: icmp_seq=385 ttl=128 time=71.6 ms
64 bytes from 172.217.31.206: icmp_seq=386 ttl=128 time=70.0 ms
64 bytes from 172.217.31.206: icmp_seq=388 ttl=128 time=125 ms
64 bytes from 172.217.31.206: icmp_seq=389 ttl=128 time=67.4 ms
64 bytes from 172.217.31.206: icmp_seq=390 ttl=128 time=73.0 ms
64 bytes from 172.217.31.206: icmp_seq=391 ttl=128 time=76.2 ms
64 bytes from 172.217.31.206: icmp_seq=392 ttl=128 time=79.0 ms
64 bytes from 172.217.31.206: icmp_seq=393 ttl=128 time=70.5 ms
64 bytes from 172.217.31.206: icmp_seq=394 ttl=128 time=97.8 ms
64 bytes from 172.217.31.206: icmp_seq=395 ttl=128 time=128 ms
64 bytes from 172.217.31.206: icmp_seq=396 ttl=128 time=68.8 ms
64 bytes from 172.217.31.206: icmp_seq=397 ttl=128 time=68.8 ms
64 bytes from 172.217.31.206: icmp_seq=398 ttl=128 time=76.6 ms
64 bytes from 172.217.31.206: icmp_seq=399 ttl=128 time=75.5 ms
64 bytes from 172.217.31.206: icmp_seq=400 ttl=128 time=70.3 ms
64 bytes from 172.217.31.206: icmp_seq=401 ttl=128 time=70.1 ms
64 bytes from 172.217.31.206: icmp_seq=402 ttl=128 time=73.0 ms
